cluster,domain_0,value_0,share_0,domain_1,value_1,share_1,domain_2,value_2,share_2,domain_3,value_3,share_3,domain_4,value_4,share_4,domain_5,value_5,share_5,domain_6,value_6,share_6,domain_7,value_7,share_7,domain_8,value_8,share_8,domain_9,value_9,share_9,domain_10,value_10,share_10,domain_11,value_11,share_11,domain_12,value_12,share_12
79cfc080-d47d-4568-b288-c36240dfc6f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91fc5520-5fd9-45ab-89dd-ff790cec27c6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460fa68c-d5b9-4c61-a66c-cb9f4f59d2fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1b2de46-8a1a-42e7-a23f-51bb3e127619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2770a230-5b44-4b78-b933-b5dc4c192da1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717a487e-702d-4569-84fe-519a8db280cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9f2598f0-afd7-4505-9bb6-6c68311a9836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015af52c-b18c-41d3-bb5b-f48da75bf59a,fullstory,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762def3f-194f-4624-aa41-302d7d2b2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc195615-38a2-49f1-95c0-ff61fdf3e422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4d300b5-a069-4802-875d-b44c957c8a88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73744744-b4be-46e0-aa26-44986539c0b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18d92a2a-fb8c-4b5a-be06-eadede1a7295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8681c129-a09c-470f-ba71-dbdb2678bc08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5860abcd-efce-4ef5-a98d-e557ec508f21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e8f2244-ea78-4653-a6c7-361519ebc158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104a2af0-cc3e-4204-b559-2ecb6886daf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72ef0b9b-3644-4dc8-9577-60c7c0e9b8a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5830eb3-ec2a-4e59-968e-0d215c41a789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519800e3-3bd3-482e-a69e-8efeab68852d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807f5d4-a697-441a-9e73-4d3a3b4bbcc0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d7d829b-eb86-46ee-87f7-04ae2f7da42b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16af0f9d-5865-49d6-b3ad-69e3665efdab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58f3219e-b05b-4ffd-aeb7-0717daa627de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7521aa19-19ad-4138-9aa5-c3d544f02630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da252747-c370-4dbd-8e7a-85dc8a2aa4b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2c95450-549f-4ac6-8b3c-4cae9565759c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15968dd0-d72c-4e98-9db9-338850ab12f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
